Source_Distance(m), Centroid_Error(m), Confidence_Radius(m)
104.282324, 0.031272, 2.910460
104.422472, 0.031320, 2.914600
104.562619, 0.031368, 2.918741
104.702766, 0.031416, 2.922881
104.842914, 0.031464, 2.927021
104.983061, 0.031512, 2.931161
105.123208, 0.031560, 2.935302
105.263355, 0.031608, 2.939442
105.403503, 0.031656, 2.943582
105.543650, 0.031704, 2.947722
105.683797, 0.031752, 2.951862
105.823945, 0.031800, 2.956003
105.964092, 0.031848, 2.960143
106.104239, 0.031896, 2.964284
106.244386, 0.031944, 2.968424
106.384534, 0.031991, 2.972564
106.524681, 0.032039, 2.976704
106.664828, 0.032088, 2.980845
106.804976, 0.032135, 2.984985
106.945123, 0.032184, 2.989126
107.085270, 0.032232, 2.993266
107.225417, 0.032280, 2.997406
107.365565, 0.032328, 3.001547
107.505712, 0.032375, 3.005687
107.645859, 0.032424, 3.009828
107.786007, 0.032471, 3.013968
107.926154, 0.032519, 3.018109
108.066301, 0.032567, 3.022249
108.206449, 0.032615, 3.026390
108.346596, 0.032663, 3.030530
108.486743, 0.032711, 3.034671
108.626890, 0.032759, 3.038811
108.767038, 0.032807, 3.042952
108.907185, 0.032855, 3.047093
109.047332, 0.032903, 3.051233
109.187480, 0.032952, 3.055374
109.327627, 0.032999, 3.059514
109.467774, 0.033047, 3.063655
109.607921, 0.033095, 3.067796
109.748069, 0.033143, 3.071936
109.888216, 0.033191, 3.076077
110.028363, 0.033239, 3.080218
110.168511, 0.033287, 3.084359
110.308658, 0.033335, 3.088499
110.448805, 0.033383, 3.092640
110.588952, 0.033431, 3.096781
110.729100, 0.033479, 3.100922
110.869247, 0.033527, 3.105063
111.009394, 0.033575, 3.109203
111.149542, 0.033623, 3.113344
111.289689, 0.033672, 3.117485
111.429836, 0.033720, 3.121626
111.569983, 0.033767, 3.125766
111.710131, 0.033815, 3.129907
111.850278, 0.033863, 3.134048
111.990425, 0.033912, 3.138189
112.130573, 0.033960, 3.142330
112.270720, 0.034007, 3.146471
112.410867, 0.034056, 3.150612
112.551015, 0.034104, 3.154753
112.691162, 0.034152, 3.158894
112.831309, 0.034200, 3.163035
112.971456, 0.034248, 3.167175
113.111604, 0.034296, 3.171317
113.251751, 0.034344, 3.175457
113.391898, 0.034392, 3.179598
113.532046, 0.034440, 3.183739
113.672193, 0.034488, 3.187880
113.812340, 0.034536, 3.192021
113.952487, 0.034584, 3.196162
114.092635, 0.034632, 3.200303
114.232782, 0.034680, 3.204445
114.372929, 0.034728, 3.208585
114.513077, 0.034776, 3.212726
114.653224, 0.034824, 3.216868
114.793371, 0.034872, 3.221009
114.933518, 0.034920, 3.225150
115.073666, 0.034968, 3.229291
